video_id,source_dataset,path,question_rows,probe_backend,duration_seconds,fps,frame_count,width,height,flag_lt_2s,flag_lt_1s,flag_lt_0_5s,speed_distortion_risk,error
agqa_0F1VF.mp4,agqa,/mnt/Data/ah66742/timelogic/videos/val/combined_2k_videos/agqa_0F1VF.mp4,1,opencv,1.32,25.0,33,320,180,True,False,False,True,
agqa_0F453.mp4,agqa,/mnt/Data/ah66742/timelogic/videos/val/combined_2k_videos/agqa_0F453.mp4,1,opencv,0.48,25.0,12,320,180,True,True,True,True,
agqa_0OUEP.mp4,agqa,/mnt/Data/ah66742/timelogic/videos/val/combined_2k_videos/agqa_0OUEP.mp4,1,opencv,1.8,25.0,45,320,180,True,False,False,True,
agqa_0POYO.mp4,agqa,/mnt/Data/ah66742/timelogic/videos/val/combined_2k_videos/agqa_0POYO.mp4,2,opencv,0.96,25.0,24,320,180,True,True,False,True,
agqa_0RJKT.mp4,agqa,/mnt/Data/ah66742/timelogic/videos/val/combined_2k_videos/agqa_0RJKT.mp4,1,opencv,1.2,25.0,30,240,320,True,False,False,True,
agqa_0RSFD.mp4,agqa,/mnt/Data/ah66742/timelogic/videos/val/combined_2k_videos/agqa_0RSFD.mp4,2,opencv,1.2,25.0,30,180,320,True,False,False,True,
agqa_0SXRS.mp4,agqa,/mnt/Data/ah66742/timelogic/videos/val/combined_2k_videos/agqa_0SXRS.mp4,1,opencv,1.0,25.0,25,240,320,True,False,False,True,
agqa_0UQU6.mp4,agqa,/mnt/Data/ah66742/timelogic/videos/val/combined_2k_videos/agqa_0UQU6.mp4,3,opencv,1.52,25.0,38,180,320,True,False,False,True,
agqa_0W39H.mp4,agqa,/mnt/Data/ah66742/timelogic/videos/val/combined_2k_videos/agqa_0W39H.mp4,1,opencv,2.28,25.0,57,180,320,False,False,False,False,
agqa_18FTZ.mp4,agqa,/mnt/Data/ah66742/timelogic/videos/val/combined_2k_videos/agqa_18FTZ.mp4,3,opencv,1.8,25.0,45,320,214,True,False,False,True,
agqa_1DGSW.mp4,agqa,/mnt/Data/ah66742/timelogic/videos/val/combined_2k_videos/agqa_1DGSW.mp4,1,opencv,0.76,25.0,19,320,180,True,True,False,True,
